56.4625	0.502918	64.3424	54.562
70.1535	55.6878	62.8002	0.501722
68.0743	0.328365	74.8198	56.0253
141.633	58.1453	136.789	0.52714
174.969	58.1666	171.309	0.502246
176.409	0.480145	180.243	54.3132
193.206	14.3045	371.969	1.98309
375.873	2.07161	420.743	12.6215
372.35	4.30752	357.684	444.485
365.712	6.9428	280.587	12.5421
142.37	9.34154	145.675	58.2062
279.412	12.4904	196.832	17.4076
421.975	13.0542	411.34	185.669
214.114	389.465	191.781	14.3062
195.209	16.8999	210.553	273.129
54.8185	41.8483	53.6046	21.6955
31.3565	24.2701	35.6967	54.5439
14.8097	55.6926	12.4268	26.9329
21.8113	26.7599	23.4084	43.2188
364.343	123.124	368.189	26.8776
32.992	54.4093	26.7878	30.3255
569.333	49.2623	589.351	50.0083
595.783	52.4121	566.817	54.9673
28.1347	57.9888	6.86824	57.8397
34.3469	56.1702	59.4092	57.4599
74.3369	57.6641	106.882	59.236
173.137	63.9843	28.1617	59.4513
114.375	59.3701	173.125	60.6217
178.219	60.6222	179.001	86.8861
33.3953	61.8365	36.6117	84.4125
179.542	136.864	174.769	65.6824
511.11	67.8855	508.274	91.7442
493.404	92.0557	495.949	70.5156
179.471	89.368	182.84	135.646
205.498	111.505	231.92	115.314
263.144	110.345	361.951	117.001
163.884	131.911	162.417	111.835
166.091	111.84	167.582	131.915
15.1475	118.205	20.6226	151.042
280.705	118.375	365.563	125.151
364.24	130.968	284.388	124.216
359.404	281.838	363.979	130.613
627.483	172.923	639.461	134.795
93.116	137.332	136.865	137.561
136.664	136.997	138.522	159.342
192.316	139.301	196.126	162.001
112.421	183.181	109.049	140.552
165.545	159.417	165.037	143.143
168.726	143.054	169.499	163.12
178.623	163.405	171.166	143.389
174.673	143.011	182.475	163.374
162.734	144.299	159.018	163.3
59.4955	151.906	95.544	148.514
19.5104	152.559	0.752348	156.269
41.92	152.324	21.8709	154.334
81.8597	157.001	55.3932	153.779
140.865	160.44	156.599	156.899
10.5152	158.147	26.7522	159.548
134.408	160.132	119.274	160.786
34.2619	166.037	82.9679	159.461
23.3357	162.889	0.522176	167.63
129.178	162.673	124.357	178.119
131.849	190.617	139.25	165.963
169.22	165.566	170.965	198.107
186.771	187.425	181.092	167.988
576.171	191.766	579.807	168.192
115.492	169.293	116.6	184.395
150.249	187.077	154.351	169.369
167.332	198.098	165.714	170.62
607.723	211.662	628.719	172.113
157.377	172.205	152.517	198.011
139.996	173.065	144.338	218.129
70.5984	178.95	40.4817	180.836
413.008	187.69	494.723	199.458
79.3649	190.442	98.1267	189.406
195.38	203.531	189.123	186.816
129.22	191.068	114.291	193.94
485.743	194.491	537.086	199.85
75.5555	194.047	60.4394	197.249
91.8977	201.986	131.771	193.867
59.3729	198.152	39.299	196.62
53.1124	203.058	70.6995	199.774
111.877	204.382	129.632	200.574
129.543	199.547	132.325	217.003
537.98	200.503	570.9	204.734
495.571	201.015	576.826	212.226
68.8814	206.992	90.7467	202.462
105.675	202.131	88.1143	205.57
586.971	217.432	488.032	203.797
576.196	204.862	600.647	211.797
0.370827	215.652	43.3521	206.717
33.153	212.019	10.5361	216.418
61.92	214.043	83.2856	216.941
55.0071	214.062	65.8587	279.336
10.6411	220.696	33.1281	215.639
624.898	226.782	590.511	219.948
67.9501	263.314	61.7821	216.722
132.539	218.052	136.648	255.65
90.6661	222.277	68.1459	224.579
19.5613	247.885	16.2411	228.022
10.2403	278.202	0.75042	230.85
89.3137	234.955	108.248	236.957
7.40718	240.775	15.1549	277.963
36.7567	245.221	20.4431	250.005
117.975	244.228	91.8911	247.025
246.801	260.155	265.672	257.171
265.689	259.137	357.376	283.758
211.84	274.281	246.7	261.401
0	278.238	22.9901	290.872
359.131	323.913	211.816	278.315
211.353	279.334	216.778	375.63
56.8862	288.961	40.6143	288.522
53.3557	295.968	35.5253	307.977
19.5609	300.559	0.743946	315.772
34.4453	307.842	16.8566	309.121
354.125	428.115	358.403	324.335
313.188	371.711	353.466	387.241
215.429	377.305	352.257	439.789
353.811	455.558	215.971	389.899
357.294	444.797	397.849	404.096
396.191	416.182	355.862	457.128
